Date Time, Water Level, Sigma, O, F, R, L, Quality 
2016-01-01 00:00,0.823,0.000,0,0,0,0,v
2016-01-01 00:06,0.797,0.013,0,0,0,0,v
2016-01-01 00:12,0.773,0.017,0,0,0,0,v
2016-01-01 00:18,0.741,0.023,0,0,0,0,v
2016-01-01 00:24,0.716,0.014,0,0,0,0,v
2016-01-01 00:30,0.710,0.018,0,0,0,0,v
2016-01-01 00:36,0.700,0.015,0,0,0,0,v
2016-01-01 00:42,0.686,0.019,0,0,0,0,v
2016-01-01 00:48,0.675,0.023,0,0,0,0,v
2016-01-01 00:54,0.658,0.014,0,0,0,0,v
2016-01-01 01:00,0.644,0.019,0,0,0,0,v
2016-01-01 01:06,0.626,0.018,0,0,0,0,v
2016-01-01 01:12,0.607,0.031,0,0,0,0,v
2016-01-01 01:18,0.569,0.021,0,0,0,0,v
2016-01-01 01:24,0.553,0.020,0,0,0,0,v
2016-01-01 01:30,0.539,0.021,0,0,0,0,v
2016-01-01 01:36,0.539,0.018,0,0,0,0,v
2016-01-01 01:42,0.504,0.027,0,0,0,0,v
2016-01-01 01:48,0.491,0.020,0,0,0,0,v
2016-01-01 01:54,0.485,0.021,0,0,0,0,v
2016-01-01 02:00,0.489,0.019,0,0,0,0,v
2016-01-01 02:06,0.460,0.027,0,0,0,0,v
2016-01-01 02:12,0.450,0.015,0,0,0,0,v
2016-01-01 02:18,0.439,0.024,0,0,0,0,v
2016-01-01 02:24,0.435,0.016,0,0,0,0,v
2016-01-01 02:30,0.421,0.021,0,0,0,0,v
2016-01-01 02:36,0.412,0.019,0,0,0,0,v
2016-01-01 02:42,0.394,0.023,0,0,0,0,v
2016-01-01 02:48,0.389,0.017,0,0,0,0,v
2016-01-01 02:54,0.384,0.017,0,0,0,0,v
2016-01-01 03:00,0.379,0.023,0,0,0,0,v
2016-01-01 03:06,0.375,0.015,0,0,0,0,v
2016-01-01 03:12,0.376,0.015,0,0,0,0,v
2016-01-01 03:18,0.375,0.017,0,0,0,0,v
2016-01-01 03:24,0.383,0.024,0,0,0,0,v
2016-01-01 03:30,0.383,0.017,0,0,0,0,v
2016-01-01 03:36,0.375,0.017,0,0,0,0,v
2016-01-01 03:42,0.357,0.013,0,0,0,0,v
2016-01-01 03:48,0.348,0.028,0,0,0,0,v
2016-01-01 03:54,0.353,0.015,0,0,0,0,v
2016-01-01 04:00,0.355,0.016,0,0,0,0,v
2016-01-01 04:06,0.356,0.018,0,0,0,0,v
2016-01-01 04:12,0.363,0.018,0,0,0,0,v
2016-01-01 04:18,0.378,0.021,0,0,0,0,v
2016-01-01 04:24,0.396,0.016,0,0,0,0,v
2016-01-01 04:30,0.399,0.023,0,0,0,0,v
2016-01-01 04:36,0.399,0.018,0,0,0,0,v
2016-01-01 04:42,0.400,0.017,0,0,0,0,v
2016-01-01 04:48,0.408,0.017,0,0,0,0,v
2016-01-01 04:54,0.428,0.020,0,0,0,0,v
2016-01-01 05:00,0.450,0.017,0,0,0,0,v
2016-01-01 05:06,0.467,0.018,0,0,0,0,v
2016-01-01 05:12,0.473,0.015,0,0,0,0,v
2016-01-01 05:18,0.487,0.014,0,0,0,0,v
2016-01-01 05:24,0.501,0.017,0,0,0,0,v
2016-01-01 05:30,0.517,0.016,0,0,0,0,v
2016-01-01 05:36,0.530,0.014,0,0,0,0,v
2016-01-01 05:42,0.546,0.021,0,0,0,0,v
2016-01-01 05:48,0.555,0.018,0,0,0,0,v
2016-01-01 05:54,0.584,0.018,0,0,0,0,v
2016-01-01 06:00,0.613,0.020,0,0,0,0,v
2016-01-01 06:06,0.631,0.021,0,0,0,0,v
2016-01-01 06:12,0.629,0.020,0,0,0,0,v
2016-01-01 06:18,0.642,0.020,0,0,0,0,v
2016-01-01 06:24,0.669,0.022,0,0,0,0,v
2016-01-01 06:30,0.698,0.016,0,0,0,0,v
2016-01-01 06:36,0.726,0.024,0,0,0,0,v
2016-01-01 06:42,0.747,0.020,0,0,0,0,v
2016-01-01 06:48,0.774,0.019,0,0,0,0,v
2016-01-01 06:54,0.798,0.016,0,0,0,0,v
2016-01-01 07:00,0.822,0.018,0,0,0,0,v
2016-01-01 07:06,0.829,0.016,0,0,0,0,v
2016-01-01 07:12,0.838,0.017,0,0,0,0,v
2016-01-01 07:18,0.858,0.015,0,0,0,0,v
2016-01-01 07:24,0.884,0.016,0,0,0,0,v
2016-01-01 07:30,0.916,0.018,0,0,0,0,v
2016-01-01 07:36,0.945,0.019,0,0,0,0,v
2016-01-01 07:42,0.971,0.013,0,0,0,0,v
2016-01-01 07:48,0.982,0.012,0,0,0,0,v
2016-01-01 07:54,1.003,0.021,0,0,0,0,v
2016-01-01 08:00,1.024,0.018,0,0,0,0,v
2016-01-01 08:06,1.042,0.024,0,0,0,0,v
2016-01-01 08:12,1.059,0.020,0,0,0,0,v
2016-01-01 08:18,1.097,0.020,0,0,0,0,v
2016-01-01 08:24,1.123,0.020,0,0,0,0,v
2016-01-01 08:30,1.140,0.019,0,0,0,0,v
2016-01-01 08:36,1.166,0.016,0,0,0,0,v
2016-01-01 08:42,1.172,0.019,0,0,0,0,v
2016-01-01 08:48,1.166,0.012,0,0,0,0,v
2016-01-01 08:54,1.169,0.022,0,0,0,0,v
2016-01-01 09:00,1.190,0.015,0,0,0,0,v
2016-01-01 09:06,1.207,0.018,0,0,0,0,v
2016-01-01 09:12,1.233,0.017,0,0,0,0,v
2016-01-01 09:18,1.266,0.019,0,0,0,0,v
2016-01-01 09:24,1.287,0.015,0,0,0,0,v
2016-01-01 09:30,1.291,0.019,0,0,0,0,v
2016-01-01 09:36,1.307,0.015,0,0,0,0,v
2016-01-01 09:42,1.302,0.017,0,0,0,0,v
2016-01-01 09:48,1.299,0.018,0,0,0,0,v
2016-01-01 09:54,1.307,0.018,0,0,0,0,v
2016-01-01 10:00,1.328,0.024,0,0,0,0,v
2016-01-01 10:06,1.334,0.021,0,0,0,0,v
2016-01-01 10:12,1.353,0.024,0,0,0,0,v
2016-01-01 10:18,1.368,0.015,0,0,0,0,v
2016-01-01 10:24,1.370,0.021,0,0,0,0,v
2016-01-01 10:30,1.368,0.018,0,0,0,0,v
2016-01-01 10:36,1.373,0.016,0,0,0,0,v
2016-01-01 10:42,1.361,0.017,0,0,0,0,v
2016-01-01 10:48,1.348,0.018,0,0,0,0,v
2016-01-01 10:54,1.348,0.024,0,0,0,0,v
2016-01-01 11:00,1.350,0.021,0,0,0,0,v
2016-01-01 11:06,1.345,0.020,0,0,0,0,v
2016-01-01 11:12,1.344,0.024,0,0,0,0,v
2016-01-01 11:18,1.344,0.018,0,0,0,0,v
2016-01-01 11:24,1.344,0.035,0,0,0,0,v
2016-01-01 11:30,1.338,0.024,0,0,0,0,v
2016-01-01 11:36,1.334,0.021,0,0,0,0,v
2016-01-01 11:42,1.327,0.015,0,0,0,0,v
2016-01-01 11:48,1.319,0.018,0,0,0,0,v
2016-01-01 11:54,1.310,0.025,0,0,0,0,v
2016-01-01 12:00,1.306,0.024,0,0,0,0,v
2016-01-01 12:06,1.302,0.021,0,0,0,0,v
2016-01-01 12:12,1.288,0.022,0,0,0,0,v
2016-01-01 12:18,1.274,0.015,0,0,0,0,v
2016-01-01 12:24,1.265,0.020,0,0,0,0,v
2016-01-01 12:30,1.255,0.022,0,0,0,0,v
2016-01-01 12:36,1.240,0.019,0,0,0,0,v
2016-01-01 12:42,1.226,0.027,0,0,0,0,v
2016-01-01 12:48,1.208,0.020,0,0,0,0,v
2016-01-01 12:54,1.195,0.024,0,0,0,0,v
2016-01-01 13:00,1.186,0.018,0,0,0,0,v
2016-01-01 13:06,1.174,0.016,0,0,0,0,v
2016-01-01 13:12,1.160,0.017,0,0,0,0,v
2016-01-01 13:18,1.153,0.021,0,0,0,0,v
2016-01-01 13:24,1.147,0.028,0,0,0,0,v
2016-01-01 13:30,1.142,0.020,0,0,0,0,v
2016-01-01 13:36,1.124,0.023,0,0,0,0,v
2016-01-01 13:42,1.105,0.023,0,0,0,0,v
2016-01-01 13:48,1.078,0.018,0,0,0,0,v
2016-01-01 13:54,1.058,0.015,0,0,0,0,v
2016-01-01 14:00,1.035,0.018,0,0,0,0,v
2016-01-01 14:06,1.016,0.038,0,0,0,0,v
2016-01-01 14:12,0.999,0.020,0,0,0,0,v
2016-01-01 14:18,1.002,0.018,0,0,0,0,v
2016-01-01 14:24,0.996,0.022,0,0,0,0,v
2016-01-01 14:30,0.985,0.019,0,0,0,0,v
2016-01-01 14:36,0.964,0.025,0,0,0,0,v
2016-01-01 14:42,0.950,0.019,0,0,0,0,v
2016-01-01 14:48,0.937,0.026,0,0,0,0,v
2016-01-01 14:54,0.916,0.016,0,0,0,0,v
2016-01-01 15:00,0.899,0.016,0,0,0,0,v
2016-01-01 15:06,0.891,0.016,0,0,0,0,v
2016-01-01 15:12,0.891,0.022,0,0,0,0,v
2016-01-01 15:18,0.900,0.017,0,0,0,0,v
2016-01-01 15:24,0.892,0.021,0,0,0,0,v
2016-01-01 15:30,0.875,0.023,0,0,0,0,v
2016-01-01 15:36,0.859,0.023,0,0,0,0,v
2016-01-01 15:42,0.851,0.019,0,0,0,0,v
2016-01-01 15:48,0.845,0.019,0,0,0,0,v
2016-01-01 15:54,0.838,0.021,0,0,0,0,v
2016-01-01 16:00,0.825,0.017,0,0,0,0,v
2016-01-01 16:06,0.816,0.015,0,0,0,0,v
2016-01-01 16:12,0.816,0.019,0,0,0,0,v
2016-01-01 16:18,0.825,0.020,0,0,0,0,v
2016-01-01 16:24,0.822,0.017,0,0,0,0,v
2016-01-01 16:30,0.808,0.020,0,0,0,0,v
2016-01-01 16:36,0.800,0.015,0,0,0,0,v
2016-01-01 16:42,0.808,0.017,0,0,0,0,v
2016-01-01 16:48,0.807,0.029,0,0,0,0,v
2016-01-01 16:54,0.804,0.019,0,0,0,0,v
2016-01-01 17:00,0.805,0.020,0,0,0,0,v
2016-01-01 17:06,0.803,0.026,0,0,0,0,v
2016-01-01 17:12,0.807,0.022,0,0,0,0,v
2016-01-01 17:18,0.811,0.028,0,0,0,0,v
2016-01-01 17:24,0.806,0.023,0,0,0,0,v
2016-01-01 17:30,0.796,0.022,0,0,0,0,v
2016-01-01 17:36,0.801,0.021,0,0,0,0,v
2016-01-01 17:42,0.813,0.017,0,0,0,0,v
2016-01-01 17:48,0.835,0.016,0,0,0,0,v
2016-01-01 17:54,0.838,0.020,0,0,0,0,v
2016-01-01 18:00,0.832,0.023,0,0,0,0,v
2016-01-01 18:06,0.841,0.023,0,0,0,0,v
2016-01-01 18:12,0.852,0.020,0,0,0,0,v
2016-01-01 18:18,0.844,0.015,0,0,0,0,v
2016-01-01 18:24,0.837,0.018,0,0,0,0,v
2016-01-01 18:30,0.836,0.020,0,0,0,0,v
2016-01-01 18:36,0.844,0.040,0,0,0,0,v
2016-01-01 18:42,0.857,0.017,0,0,0,0,v
2016-01-01 18:48,0.871,0.021,0,0,0,0,v
2016-01-01 18:54,0.880,0.018,0,0,0,0,v
2016-01-01 19:00,0.878,0.017,0,0,0,0,v
2016-01-01 19:06,0.891,0.019,0,0,0,0,v
2016-01-01 19:12,0.898,0.019,0,0,0,0,v
2016-01-01 19:18,0.898,0.020,0,0,0,0,v
2016-01-01 19:24,0.887,0.023,0,0,0,0,v
2016-01-01 19:30,0.892,0.015,0,0,0,0,v
