anio,mes,dia,hora(utc),altura(mm)
2016,1,1,0,672
2016,1,1,1,499
2016,1,1,2,368
2016,1,1,3,308
2016,1,1,4,329
2016,1,1,5,427
2016,1,1,6,584
2016,1,1,7,773
2016,1,1,8,959
2016,1,1,9,1107
2016,1,1,10,1190
2016,1,1,11,1200
2016,1,1,12,1141
2016,1,1,13,1037
2016,1,1,14,920
2016,1,1,15,820
2016,1,1,16,757
2016,1,1,17,740
2016,1,1,18,765
2016,1,1,19,820
2016,1,1,20,883
2016,1,1,21,927
2016,1,1,22,931
2016,1,1,23,885
2016,1,2,0,792
2016,1,2,1,671
2016,1,2,2,549
2016,1,2,3,458
2016,1,2,4,419
2016,1,2,5,446
2016,1,2,6,537
2016,1,2,7,683
2016,1,2,8,859
2016,1,2,9,1035
2016,1,2,10,1175
2016,1,2,11,1253
2016,1,2,12,1256
2016,1,2,13,1187
2016,1,2,14,1065
2016,1,2,15,921
2016,1,2,16,783
2016,1,2,17,677
2016,1,2,18,620
2016,1,2,19,617
2016,1,2,20,661
2016,1,2,21,731
2016,1,2,22,800
2016,1,2,23,842
2016,1,3,0,841
2016,1,3,1,793
2016,1,3,2,709
2016,1,3,3,614
2016,1,3,4,536
2016,1,3,5,503
2016,1,3,6,529
2016,1,3,7,620
2016,1,3,8,768
2016,1,3,9,949
2016,1,3,10,1129
2016,1,3,11,1268
2016,1,3,12,1338
2016,1,3,13,1324
2016,1,3,14,1226
2016,1,3,15,1063
2016,1,3,16,870
2016,1,3,17,684
2016,1,3,18,539
2016,1,3,19,460
2016,1,3,20,455
2016,1,3,21,517
2016,1,3,22,622
2016,1,3,23,734
2016,1,4,0,820
2016,1,4,1,854
2016,1,4,2,831
2016,1,4,3,759
2016,1,4,4,666
2016,1,4,5,587
2016,1,4,6,553
2016,1,4,7,584
2016,1,4,8,689
2016,1,4,9,856
2016,1,4,10,1056
2016,1,4,11,1247
2016,1,4,12,1385
2016,1,4,13,1436
2016,1,4,14,1384
2016,1,4,15,1233
2016,1,4,16,1010
2016,1,4,17,759
2016,1,4,18,528
2016,1,4,19,361
2016,1,4,20,285
2016,1,4,21,308
2016,1,4,22,416
2016,1,4,23,574
2016,1,5,0,734
2016,1,5,1,853
2016,1,5,2,904
2016,1,5,3,880
2016,1,5,4,797
2016,1,5,5,691
2016,1,5,6,604
2016,1,5,7,575
2016,1,5,8,627
2016,1,5,9,762
2016,1,5,10,962
2016,1,5,11,1189
2016,1,5,12,1390
2016,1,5,13,1514
2016,1,5,14,1526
2016,1,5,15,1413
2016,1,5,16,1189
2016,1,5,17,895
2016,1,5,18,590
2016,1,5,19,331
2016,1,5,20,168
2016,1,5,21,127
2016,1,5,22,205
2016,1,5,23,377
2016,1,6,0,592
2016,1,6,1,790
2016,1,6,2,923
2016,1,6,3,965
2016,1,6,4,916
2016,1,6,5,806
2016,1,6,6,681
2016,1,6,7,593
2016,1,6,8,584
2016,1,6,9,673
2016,1,6,10,854
2016,1,6,11,1095
2016,1,6,12,1346
2016,1,6,13,1545
2016,1,6,14,1635
2016,1,6,15,1584
2016,1,6,16,1390
